gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0,0,0,0,-0.9924020376385531,1,2,1,0,0,0,0,0,0,0,1,2,0.3485887601159204,-0.7535193886419853
1,0,1,0,-0.7073594915983407,1,0,1,0,0,0,0,0,0,0,1,0,0.12756975909382579,-0.5186683050333588
0,0,1,1,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,1,0,-0.6784017859867437,-0.9885691618306531
0,0,0,0,1.125056875803025,1,2,1,0,2,2,0,2,2,0,1,2,1.3672703212177542,1.8160887967900596
1,0,1,1,0.06632741908223598,1,2,1,0,2,0,0,2,2,0,1,0,1.0947356131905097,0.4974743605370366
1,1,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,0,0,-0.6484894399837535,-0.9881717826705708
0,0,0,0,1.5729808767233588,1,2,1,0,2,2,2,2,2,2,1,2,1.5450826002355291,2.517109788415208
0,0,1,1,0.758573602322752,1,2,1,0,0,0,2,0,0,0,1,2,0.531386430134194,0.8095936141616616
0,0,1,0,1.0843365120829946,1,0,1,2,0,2,0,0,0,1,1,1,0.5480044001358552,1.0403163698294335
0,0,0,0,-0.30015585439803716,1,0,2,1,1,1,1,1,1,2,0,1,-1.4943441130683104,-0.7983349272512645
1,0,0,0,0.18848851024232702,1,0,0,2,2,2,2,0,0,2,0,0,0.0278619390838584,0.013466543556821444
1,0,0,1,-1.2774445836787656,1,0,0,0,0,0,2,0,2,0,1,3,-0.1732154979362424,-0.9818578693492634
1,0,0,0,-1.1552834925186746,1,0,2,1,1,1,1,1,1,0,1,2,-1.481049737066981,-0.9835577690896156
0,0,1,1,0.35136996512244845,1,0,1,0,0,2,0,2,2,0,1,0,1.001674981181207,0.6908655517770789
1,0,0,0,1.5729808767233588,1,0,2,1,1,1,1,1,1,2,1,1,-1.491020519067978,-0.4098305684108236
1,1,1,0,1.6137012404433893,0,1,0,2,2,2,2,2,2,2,1,1,0.006258578081699082,0.9990551670408904
0,0,1,0,1.4100994218432374,1,0,2,1,1,1,1,1,1,2,0,3,-1.4993295040688086,-0.4186170631726428
1,0,1,1,1.5322605130033284,1,2,2,1,1,1,1,1,1,2,0,1,-1.3165318340505352,-0.217741897751051
0,0,1,1,1.6137012404433893,1,2,2,1,1,1,1,1,1,2,0,3,-1.3248408190513656,-0.1872540855247384
0,1,1,0,-0.748079855318371,1,2,1,0,2,0,0,2,2,0,1,2,1.1778254631988159,-0.40334004212947966
1,0,1,1,-0.055833672077855064,1,2,2,1,1,1,1,1,1,2,0,3,-1.2965902700485417,-0.6745292422656303
0,1,1,0,0.3920903288424788,1,0,1,2,0,0,0,0,0,0,1,1,0.31202922611226586,0.4177336090805261
1,0,1,0,1.002895784642934,0,1,0,0,2,2,2,2,2,2,1,0,-0.24134917494305336,0.4338716183038674
0,0,1,1,-1.1960038562387048,1,0,2,1,1,1,1,1,1,2,0,3,-1.517609271070636,-0.9851914389699538
0,0,1,1,-0.015113308357824713,1,2,1,0,0,2,0,0,2,0,1,0,0.8737166121684152,0.29635635229539453
0,0,1,1,0.8400143297628127,1,0,2,1,1,1,1,1,1,1,1,0,-1.4926823160681442,-0.5492002704996805
0,0,1,0,-1.2774445836787656,1,0,1,0,0,0,0,2,0,0,0,2,0.466576347127715,-0.9733583706475035
0,0,0,0,-0.3408762181180675,1,2,1,0,2,2,0,2,2,0,1,2,1.3091074262119398,0.09331767811335481
0,0,1,0,-0.62591876415828,1,2,1,0,0,0,0,2,2,0,0,2,0.925232319173565,-0.31066239135029045
0,0,1,1,-1.0738427650786138,1,2,0,0,0,0,0,0,0,0,1,1,-0.5255164619714603,-0.8875023954497269
1,0,1,0,-0.8702409464784621,1,0,2,1,1,1,1,1,1,1,1,3,-1.4694171580658184,-0.9264897063777994
0,0,1,1,1.6137012404433893,1,2,1,2,2,2,2,2,2,2,1,0,1.7561308192566265,2.660497435344897
0,0,0,0,-1.1960038562387048,1,0,0,0,0,2,0,2,2,1,1,2,0.1724382780983114,-0.910815306174554
1,0,0,0,0.3106496014024181,0,1,0,0,2,0,2,0,0,1,0,1,-0.9559218850144864,-0.397555967688282
0,0,1,0,1.4508197855632678,1,2,1,0,2,2,2,0,0,2,0,1,0.8454660631655913,1.772465395661027
0,0,0,0,-0.7888002190384014,1,0,2,1,1,1,1,1,1,1,0,3,-1.481049737066981,-0.8875023954497269
1,0,1,1,-1.1145631287986442,1,2,1,0,2,0,0,0,0,0,1,2,0.5114448661322006,-0.8381611497395106
1,0,0,0,-0.8702409464784621,1,0,2,1,1,1,1,1,1,2,0,1,-1.502653098069141,-0.909623168694307
1,0,0,0,-0.5851984004382496,1,0,2,1,1,1,1,1,1,2,0,1,-1.4860351280674797,-0.8365716330991816
0,0,1,1,-0.7073594915983407,1,0,2,1,1,1,1,1,1,1,0,3,-1.4694171580658184,-0.8774796099676516
0,0,1,1,-0.0965540357978854,1,2,1,0,0,2,0,2,2,0,1,2,1.1728400721983174,0.33682279676377325
1,0,0,0,-0.30015585439803716,1,0,2,1,1,1,1,1,1,1,1,0,-1.504314895069307,-0.7801879456075071
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,0,0,-0.6850489739874083,-0.9886574683106714
1,0,1,1,1.6137012404433893,1,2,2,1,1,1,1,1,1,2,1,0,-1.3148700370503688,-0.21387848925025105
0,1,0,0,0.9621754209229036,1,2,1,0,2,2,0,2,2,0,0,2,1.329048990213933,1.5709941614993121
0,0,0,0,0.3106496014024181,1,0,2,1,1,1,1,1,1,2,0,1,-1.4993295040688086,-0.6415688485988057
1,0,1,1,-1.0738427650786138,1,0,2,1,1,1,1,1,1,1,0,3,-1.505976692069473,-0.9580371963643314
1,0,0,0,-0.3408762181180675,1,2,1,0,2,0,0,2,0,0,1,1,0.8570986421667539,-0.00033134394603544915
1,0,0,0,0.3920903288424788,1,2,1,2,2,2,0,0,2,1,1,2,1.1379423351948288,0.8897538213982591
1,0,0,0,1.6137012404433893,1,2,0,2,2,0,2,2,2,2,0,1,0.7075369121518029,1.7777637844621241
0,1,1,0,-0.015113308357824713,1,2,1,0,0,0,0,2,0,0,1,1,0.7042133181514708,0.15246094310560052
0,0,1,1,1.5729808767233588,1,2,0,2,2,2,2,0,0,2,0,3,0.21065960910213194,1.2988335900829604
1,0,0,0,-0.9109613101984924,1,0,0,2,0,0,2,2,0,0,0,0,-0.08347845992727167,-0.7375138391386713
1,0,1,1,0.5549717837226001,1,0,0,2,0,2,2,2,2,2,0,3,0.5396954151350245,0.6901370233169279
0,0,1,0,-0.7888002190384014,0,1,0,0,0,2,0,2,2,0,1,0,-0.532163649972125,-0.7284845015568018
0,0,0,0,1.0436161483629645,1,0,1,2,2,2,0,2,2,1,1,2,1.3855500882195813,1.7054407773271498
1,0,0,0,0.8400143297628127,1,2,0,0,2,2,2,0,2,2,1,0,0.30372024111143525,0.7395444988871579
1,0,1,1,0.9621754209229036,1,2,1,0,2,0,2,2,0,0,1,1,1.069808658188018,1.3903411800019072
1,1,1,0,1.002895784642934,0,1,0,0,0,0,0,2,2,0,1,2,-0.6617838159850825,0.12788966504051294
1,0,0,0,0.22920887396235737,1,0,0,2,2,0,2,2,0,1,0,3,0.19404163910047073,0.18760692215287755
1,1,1,0,0.10704778280226633,1,2,1,0,0,2,0,2,2,0,1,2,1.1977670272008092,0.5096165015395506
0,0,0,0,1.125056875803025,1,0,1,2,0,2,2,2,2,0,1,0,1.3356961782145975,1.7455760724954597
1,0,0,0,0.47353105628253944,1,0,2,1,1,1,1,1,1,1,0,1,-1.504314895069307,-0.6392508034983256
1,0,0,0,-1.2774445836787656,1,2,0,0,2,0,0,0,0,0,0,2,-0.3477041829536853,-0.9841759144497434
0,0,1,1,1.6137012404433893,1,2,1,2,2,0,2,0,0,2,1,0,0.8504514541660894,1.8898026309853222
1,0,1,1,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9948168452919468
1,0,1,1,1.5322605130033284,1,2,2,1,1,1,1,1,1,2,0,3,-1.3098846460498705,-0.2508568277579075
1,0,0,0,0.5956921474426305,1,2,1,2,2,0,0,2,0,1,0,0,0.9983513871808745,0.9945736131799626
1,1,1,1,-0.9924020376385531,1,0,1,0,0,0,0,2,0,0,1,1,0.5214156481331973,-0.7505390449413682
1,0,1,0,1.5729808767233588,1,2,1,0,2,0,2,2,2,2,1,1,1.3091074262119398,2.2438674626186326
0,0,1,1,-0.0965540357978854,1,0,2,1,1,1,1,1,1,2,0,3,-1.5109620830699715,-0.7419512397595901
1,1,1,0,-0.015113308357824713,1,2,1,0,2,2,0,2,2,0,0,0,1.3822264942192488,0.5463740738471614
1,0,0,0,-0.46303730927815856,1,0,0,0,0,2,0,0,2,0,0,3,-0.10342002392926519,-0.39283157100730387
0,1,0,0,-1.2774445836787656,1,2,0,0,0,0,0,0,0,0,0,3,-0.47233895796614456,-0.9858316609500862
0,1,0,0,0.5549717837226001,1,0,1,0,2,0,0,2,2,1,0,1,1.0133075601823696,0.9452765207097553
0,0,1,1,1.4915401492832983,1,0,2,1,1,1,1,1,1,2,0,3,-1.5076384890696393,-0.41376020677163716
0,0,1,0,-0.38159658183809786,1,2,0,0,0,0,2,2,2,0,1,1,0.2954112561106046,-0.2828237735245264
0,0,1,0,-0.4223169455581282,1,0,0,0,2,2,0,0,0,0,1,3,-0.33440980695235617,-0.4876948071669456
0,0,1,0,1.2879383306831464,1,0,1,2,0,2,0,2,2,2,1,0,1.1379423351948288,1.8069711527281718
1,0,1,0,1.3286586944031769,1,2,0,2,0,2,2,0,2,2,0,0,0.37850110611891075,1.168404919095955
0,0,1,1,-0.1779947632379461,1,2,0,0,0,0,0,0,0,0,0,3,-0.49394231896830415,-0.3854800565457817
1,0,0,0,-1.2367242199587352,0,1,0,0,0,0,0,0,0,0,1,2,-1.3198554280508674,-0.9832707730295561
0,0,1,1,-0.38159658183809786,1,2,1,0,0,0,0,0,2,0,0,2,0.6925807391503077,-0.18319198744389734
1,1,1,0,-0.9109613101984924,1,0,1,0,2,2,2,2,0,0,1,3,0.9219087251732329,-0.5957157088493117
0,1,0,0,1.5729808767233588,1,2,1,0,0,2,0,2,2,2,0,0,1.3057838322116073,2.2651714009230437
1,1,0,0,1.2879383306831464,1,0,2,1,1,1,1,1,1,2,1,0,-1.4860351280674797,-0.4791732318451812
0,0,0,0,-0.2594354906780068,1,0,0,0,2,2,0,0,0,1,1,3,-0.28954128794787104,-0.3223629999527131
0,0,1,1,0.7992939660427822,1,0,2,1,1,1,1,1,1,2,0,3,-1.4926823160681442,-0.5354906894768419
0,0,0,0,-1.1960038562387048,1,0,1,0,2,0,0,2,2,0,1,2,1.0083221691818711,-0.8724240639866049
1,0,1,1,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,0,0.7573908221567865,1.845539007876157
0,0,1,1,1.6137012404433893,1,2,0,0,2,0,2,2,2,2,1,2,0.47156173812821356,1.521895758609146
0,0,0,0,1.369379058123207,0,1,0,2,0,2,2,2,2,2,1,0,-0.11339080593026184,0.8433708427686554
0,0,0,0,-0.7073594915983407,1,0,1,0,2,0,0,2,0,0,1,0,0.612814483142334,-0.5092195116714023
1,0,0,0,-1.1960038562387048,1,0,1,0,0,0,0,0,0,0,1,3,0.16080569909714826,-0.9165773039957469
0,0,1,0,1.6137012404433893,1,2,1,2,2,0,0,0,2,2,1,1,0.9867188081797118,2.0480036899380782
1,0,0,0,-0.9516816739185228,1,2,1,0,2,0,0,2,2,0,1,1,1.1479131171958254,-0.602493231190715
0,0,0,0,-1.1145631287986442,1,0,2,1,1,1,1,1,1,0,0,3,-1.4893587220678117,-0.9597591727246879
0,0,0,0,-1.2367242199587352,1,0,0,0,2,0,0,0,0,0,1,3,-0.5039131009693008,-0.9575073574842217
1,0,1,1,0.5549717837226001,1,2,2,1,1,1,1,1,1,1,0,2,-1.3248408190513656,-0.4894388601473067
0,1,0,0,-0.1779947632379461,1,2,0,0,2,2,2,0,0,0,0,0,-0.010359391919962149,-0.18354521336397053
0,0,0,0,0.06632741908223598,1,2,1,0,0,0,0,2,0,0,0,2,0.684271754149477,0.27079162633010123
0,0,0,0,-1.1145631287986442,0,1,0,0,2,0,0,2,2,0,1,1,-0.4590445819648154,-0.9068635911937356
0,0,1,1,-1.1145631287986442,1,0,1,0,0,0,2,2,0,0,1,2,0.6975661301508063,-0.800211439951653
1,1,1,0,-0.7888002190384014,1,2,1,2,2,0,0,0,2,0,0,1,0.9651154471775519,-0.4513787672594262
0,0,1,1,1.4100994218432374,1,2,1,2,0,0,2,2,2,2,0,1,1.393859073220412,2.086770234666105
0,0,1,0,1.4100994218432374,1,2,0,2,2,2,0,0,0,2,0,3,0.0295237360840249,0.90052721196049
1,1,0,0,1.2879383306831464,1,2,1,0,0,2,2,2,2,1,0,2,1.2409737492051283,1.9448617212767225
1,0,1,0,1.0843365120829946,1,2,1,0,0,0,0,0,2,1,0,2,0.6909189421501416,1.236886594350134
0,0,0,0,-1.2774445836787656,1,0,0,0,0,0,0,0,0,0,0,1,-0.6916961619880726,-0.9887457747906897
